pc1,pc2,cluster,title
-0.0001373291,-0.14525244,0,Enterprise Data Architects
-0.092364654,-0.17023939,0,Data Warehouse Business Analysts
-0.14292093,-0.094734535,0,Data Quality Leads
-0.16764888,-0.20503324,0,Business Intelligence Managers
-0.07656525,-0.035581764,0,Data Support Analysts
-0.038333997,-0.15013427,0,Data Analytics Analysts
-0.12787737,-0.2746958,0,Healthcare Systems Analysts
-0.15246134,0.07295648,0,Data and Reporting Analysts
-0.089284465,-0.03469985,0,Enterprise Data Analysts
-0.14133668,-0.12906718,0,IT Data Analysts
-0.18517737,-0.24954283,0,Analytics Managers
-0.08395681,-0.23560268,0,Oracle Administrators
-0.13315521,-0.18967885,0,Principals
-0.23078714,-0.11519712,0,Data Analysts
-0.045979425,-0.14872955,0,Data Migration Analysts
-0.15252829,-0.29744717,0,Enterprise Data Architects
-0.344819,-0.27773654,0,Data Analytics Engineers
-0.05746846,-0.13100041,0,Oracle Technical Consultants
-0.10044582,-0.118688814,0,Data Quality Assurance Analysts
